Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Comment
1,"KB6XN",445.70000,-,5.00000,,88.5,88.5,23,NN,DIG,5,"Las Vegas",
2,"WN9ANF",448.07500,-,5.00000,Tone,127.3,88.5,023,NN,FM,5,"Las Vegas, The D Hotel",
3,"KK7AV",449.47500,-,5.00000,Tone,114.8,88.5,023,NN,FM,5,"Las Vegas",
4,"N7ARR",446.70000,-,5.00000,Tone,118.8,88.5,023,NN,FM,5,"Las Vegas,  strip",
5,"K7UGE",146.94000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Las Vegas, Westgate Hotel and Casino",
6,"KE7ZHN",145.46000,-,0.60000,Tone,100.0,88.5,023,NN,FM,5,"North Las Vegas",
7,"WO3B",449.45000,-,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Las Vegas",
8,"KC7DB",147.27000,+,0.60000,Tone,100.0,88.5,023,NN,FM,5,"Las Vegas, Sunrise Hospital",
9,"KE7CCH",449.60000,-,5.00000,Tone,107.2,107.2,023,NN,FM,5,"Las Vegas",
10,"K7AC",447.60000,-,5.00000,,88.5,88.5,023,NN,FM,5,"Las Vegas",
11,"N8NDI",448.25000,-,5.00000,,88.5,88.5,023,NN,FM,5,"Las Vegas,  QTH",
12,"N8DBM",448.67500,-,5.00000,Tone,77.0,88.5,023,NN,FM,5,"Las Vegas, QTH",
13,"WH6CYB",448.77500,-,5.00000,Tone,77.0,88.5,023,NN,FM,5,"North Las Vegas",
14,"N7RMK",446.87500,-,5.00000,Tone,114.8,114.8,023,NN,FM,5,"Las Vegas, Sunrise manor",
15,"N7ARR",147.00000,-,0.60000,Tone,123.0,88.5,023,NN,FM,5,"Las Vegas, QTH",
16,"KG7SS",447.30000,-,5.00000,Tone,100.0,100.0,23,NN,DIG,5,"Las Vegas, Mountain View Hospital",
17,"N7ARR",446.45000,-,5.00000,,88.5,88.5,23,NN,DIG,5,"Las Vegas, Frenchman Mtn",
18,"WB9STH",448.45000,-,5.00000,,88.5,88.5,023,NN,FM,5,"Las Vegas, Southern Hills Hospital",
19,"N4NJJ",445.97500,-,5.00000,Tone,107.2,107.2,023,NN,FM,5,"North Las Vegas, Aliante Casino and Resort",
20,"W7JCA",445.87500,-,5.00000,Tone,100.0,100.0,023,NN,Auto,5,"Las Vegas",
21,"K7IZA",448.90000,-,5.00000,Tone,100.0,88.5,023,NN,FM,5,"Las Vegas, Sunrise Mountain",
22,"W7AOR",449.72500,-,5.00000,Tone,97.4,88.5,023,NN,FM,5,"Las Vegas,  Sunrise Mountain",
23,"WA7CYC",449.67500,-,5.00000,Tone,192.8,88.5,023,NN,FM,5,"Las Vegas,  Sunrise Mountain",
