"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","TX Prohibit","Reverse","Simplex TDMA","TDMA Adaptive","AES Encryption","Digital Encryption","Call Confirmation","Talk Around","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","Digi APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","DMR MODE","Exclude channel from roaming"
"1","W3PVI 145.27000:","145.27000","144.67000","D-Digital","High","25K","Off","Off","Contact1","Group Call","My Radio","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"2","KD3WT 145.41000:","145.41000","144.81000","A-Analog","High","25K","62.5","82.5","Contact1","Group Call","My Radio","Off","CTCSS/DCS","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","88.5","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"3","K3CX 440.15000:4","440.15000","445.15000","A-Analog","High","25K","Off","Off","Contact1","Group Call","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","88.5","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"4","N3KZ 442.40000:4","442.40000","447.40000","A-Analog","High","25K","Off","Off","Contact1","Group Call","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"5","W3SBE 442.55000:","442.55000","447.55000","A-Analog","High","25K","Off","Off","Contact1","Group Call","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","91.5","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"6","K3TU 442.80000:4","442.80000","447.80000","A-Analog","High","25K","Off","Off","Contact1","Group Call","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","88.5","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"7","KD3WT 446.87500:","446.87500","441.87500","A-Analog","High","25K","Off","Off","Contact1","Group Call","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","88.5","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"8","WM3PEN 146.68500","146.68500","146.08500","A-Analog","High","25K","Off","Off","Contact1","Group Call","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","146.2","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"9","WB3EHB 444.30000","444.30000","449.30000","A-Analog","High","25K","Off","Off","Contact1","Group Call","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","88.5","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"10","N2HQX 448.02500:","448.02500","443.02500","A-Analog","High","25K","Off","Off","Contact1","Group Call","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","88.5","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"11","N3UXQ 449.97500:","449.97500","444.97500","A-Analog","High","25K","Off","Off","Contact1","Group Call","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"12","NJ2GC 447.77500:","447.77500","442.77500","A-Analog","High","25K","Off","Off","Contact1","Group Call","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","88.5","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"13","W3UER 147.36000:","147.36000","147.96000","A-Analog","High","25K","Off","Off","Contact1","Group Call","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"14","W3UER 444.05000:","444.05000","449.05000","A-Analog","High","25K","Off","Off","Contact1","Group Call","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"15","NJ2CH 145.37000:","145.37000","144.77000","A-Analog","High","25K","Off","Off","Contact1","Group Call","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","91.5","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"16","K3RJC 444.90000:","444.90000","449.90000","A-Analog","High","25K","Off","Off","Contact1","Group Call","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","88.5","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"17","WR3IRS 440.65000","440.65000","445.65000","D-Digital","High","25K","Off","Off","Contact1","Group Call","My Radio","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"18","W3WAN 441.70000:","441.70000","446.70000","A-Analog","High","25K","Off","Off","Contact1","Group Call","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","74.4","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"19","W3QV 147.03000:1","147.03000","147.63000","A-Analog","High","25K","Off","Off","Contact1","Group Call","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","91.5","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"20","W3QV 444.80000:4","444.80000","449.80000","A-Analog","High","25K","Off","Off","Contact1","Group Call","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"21","WA2WUN 147.22500","147.22500","147.82500","A-Analog","High","25K","Off","Off","Contact1","Group Call","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","192.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"22","K3PDR 447.62500:","447.62500","442.62500","D-Digital","High","25K","Off","Off","Contact1","Group Call","My Radio","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"4001","Channel VFO A","442.13225","442.13225","D-Digital","High","25K","Off","Off","Contact1","Group Call","My Radio","Always","Carrier","Off","1","1","1","Off","1","1","None","None","On","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
"4002","Channel VFO B","145.12500","145.12500","A-Analog","High","25K","Off","Off","Contact1","Group Call","My Radio","Off","Carrier","Off","1","1","1","Off","1","1","None","None","On","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","131.8","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","0"
